,type,from,to,arcrole,order
160,arc,jppfs_cor_StatementOfCashFlowsLineItems,jppfs_cor_NetCashProvidedByUsedInOperatingActivitiesAbstract,http://xbrl.org/int/dim/arcrole/domain-member,1
161,arc,jppfs_cor_NetCashProvidedByUsedInOperatingActivitiesAbstract,jppfs_cor_IncomeBeforeIncomeTaxes,http://xbrl.org/int/dim/arcrole/domain-member,1
162,arc,jppfs_cor_NetCashProvidedByUsedInOperatingActivitiesAbstract,jppfs_cor_DepreciationAndAmortizationOpeCF,http://xbrl.org/int/dim/arcrole/domain-member,2
163,arc,jppfs_cor_NetCashProvidedByUsedInOperatingActivitiesAbstract,jppfs_cor_ImpairmentLossOpeCF,http://xbrl.org/int/dim/arcrole/domain-member,3
164,arc,jppfs_cor_NetCashProvidedByUsedInOperatingActivitiesAbstract,tse-qcedjpfr-47260_SubsidiaryCompanyHeadOfficeTransferCostOpeCF,http://xbrl.org/int/dim/arcrole/domain-member,4
165,arc,jppfs_cor_NetCashProvidedByUsedInOperatingActivitiesAbstract,jppfs_cor_AmortizationOfGoodwillOpeCF,http://xbrl.org/int/dim/arcrole/domain-member,5
166,arc,jppfs_cor_NetCashProvidedByUsedInOperatingActivitiesAbstract,jppfs_cor_ShareBasedCompensationExpensesOpeCF,http://xbrl.org/int/dim/arcrole/domain-member,6
167,arc,jppfs_cor_NetCashProvidedByUsedInOperatingActivitiesAbstract,jppfs_cor_IncreaseDecreaseInAllowanceForDoubtfulAccountsOpeCF,http://xbrl.org/int/dim/arcrole/domain-member,7
168,arc,jppfs_cor_NetCashProvidedByUsedInOperatingActivitiesAbstract,jppfs_cor_IncreaseDecreaseInProvisionForBonusesOpeCF,http://xbrl.org/int/dim/arcrole/domain-member,8
169,arc,jppfs_cor_NetCashProvidedByUsedInOperatingActivitiesAbstract,jppfs_cor_IncreaseDecreaseInProvisionForDirectorsBonusesOpeCF,http://xbrl.org/int/dim/arcrole/domain-member,9
